route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,1325,1342948,Transway1A,Tri519453,0,1478,176728,0,0
16,1326,1342949,Transway1A,Tri519453,0,1627,176728,0,0
16,1322,1342950,Transway1A,Tri519454,0,1033,176728,0,0
16,1323,1342951,Transway1A,Tri519454,0,1180,176728,0,0
16,1324,1342952,Transway1A,Tri519454,0,1329,176728,0,0
16,1325,1342953,Transway1A,Tri519454,0,1479,176728,0,0
16,1326,1342954,Transway1A,Tri519454,0,1628,176728,0,0
16,1322,1342955,Transway1A,Tri519455,0,1031,176728,0,0
16,1323,1342956,Transway1A,Tri519455,0,1178,176728,0,0
16,1324,1342957,Transway1A,Tri519455,0,1327,176728,0,0
16,1325,1342958,Transway1A,Tri519455,0,1477,176728,0,0
16,1326,1342959,Transway1A,Tri519455,0,1626,176728,0,0
16,1322,1342960,Transway1A,Tri519456,0,1032,176728,0,0
16,1323,1342961,Transway1A,Tri519456,0,1179,176728,0,0
16,1324,1342962,Transway1A,Tri519456,0,1328,176728,0,0
16,1325,1342963,Transway1A,Tri519456,0,1478,176728,0,0
16,1326,1342964,Transway1A,Tri519456,0,1627,176728,0,0
16,1322,1342965,Transway1A,Tri519457,0,1033,176728,0,0
16,1323,1342966,Transway1A,Tri519457,0,1180,176728,0,0
16,1324,1342967,Transway1A,Tri519457,0,1329,176728,0,0
16,1325,1342968,Transway1A,Tri519457,0,1479,176728,0,0
16,1326,1342969,Transway1A,Tri519457,0,1628,176728,0,0
16,1322,1342970,Transway1A,Tri519458,0,1031,176728,0,0
16,1323,1342971,Transway1A,Tri519458,0,1178,176728,0,0
16,1324,1342972,Transway1A,Tri519458,0,1327,176728,0,0
16,1325,1342973,Transway1A,Tri519458,0,1477,176728,0,0
16,1326,1342974,Transway1A,Tri519458,0,1626,176728,0,0
16,1322,1342975,Transway1A,Tri519459,0,1032,176728,0,0
16,1323,1342976,Transway1A,Tri519459,0,1179,176728,0,0
16,1324,1342977,Transway1A,Tri519459,0,1328,176728,0,0
16,1325,1342978,Transway1A,Tri519459,0,1478,176728,0,0
16,1326,1342979,Transway1A,Tri519459,0,1627,176728,0,0
16,1322,1342980,Transway1A,Tri519460,0,1033,176728,0,0
16,1323,1342981,Transway1A,Tri519460,0,1180,176728,0,0
16,1324,1342982,Transway1A,Tri519460,0,1329,176728,0,0
16,1325,1342983,Transway1A,Tri519460,0,1479,176728,0,0
16,1326,1342984,Transway1A,Tri519460,0,1628,176728,0,0
16,1322,1342985,Transway1A,Tri519461,0,1031,176728,0,0
16,1323,1342986,Transway1A,Tri519461,0,1178,176728,0,0
16,1324,1342987,Transway1A,Tri519461,0,1327,176728,0,0
16,1325,1342988,Transway1A,Tri519461,0,1477,176728,0,0
16,1326,1342989,Transway1A,Tri519461,0,1626,176728,0,0
16,1322,1342990,Transway1A,Tri519462,0,1032,176728,0,0
16,1323,1342991,Transway1A,Tri519462,0,1179,176728,0,0
16,1324,1342992,Transway1A,Tri519462,0,1328,176728,0,0
16,1325,1342993,Transway1A,Tri519462,0,1478,176728,0,0
