route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,1232,1214782,Transway1A,Tri519444,0,1626,165445,0,0
16,1228,1214783,Transway1A,Tri519446,0,1031,165445,0,0
16,1229,1214784,Transway1A,Tri519446,0,1178,165445,0,0
16,1230,1214785,Transway1A,Tri519446,0,1327,165445,0,0
16,1231,1214786,Transway1A,Tri519446,0,1477,165445,0,0
16,1232,1214787,Transway1A,Tri519446,0,1626,165445,0,0
16,1228,1214788,Transway1A,Tri519447,0,1032,165445,0,0
16,1229,1214789,Transway1A,Tri519447,0,1179,165445,0,0
16,1230,1214790,Transway1A,Tri519447,0,1328,165445,0,0
16,1231,1214791,Transway1A,Tri519447,0,1478,165445,0,0
16,1232,1214792,Transway1A,Tri519447,0,1627,165445,0,0
16,1228,1214793,Transway1A,Tri519448,0,1033,165445,0,0
16,1229,1214794,Transway1A,Tri519448,0,1180,165445,0,0
16,1230,1214795,Transway1A,Tri519448,0,1329,165445,0,0
16,1231,1214796,Transway1A,Tri519448,0,1479,165445,0,0
16,1232,1214797,Transway1A,Tri519448,0,1628,165445,0,0
16,1228,1214798,Transway1A,Tri519449,0,1031,165445,0,0
16,1229,1214799,Transway1A,Tri519449,0,1178,165445,0,0
16,1230,1214800,Transway1A,Tri519449,0,1327,165445,0,0
16,1231,1214801,Transway1A,Tri519449,0,1477,165445,0,0
16,1232,1214802,Transway1A,Tri519449,0,1626,165445,0,0
16,1228,1214803,Transway1A,Tri519450,0,1032,165445,0,0
16,1229,1214804,Transway1A,Tri519450,0,1179,165445,0,0
16,1230,1214805,Transway1A,Tri519450,0,1328,165445,0,0
16,1231,1214806,Transway1A,Tri519450,0,1478,165445,0,0
16,1232,1214807,Transway1A,Tri519450,0,1627,165445,0,0
16,1228,1214808,Transway1A,Tri519451,0,1033,165445,0,0
16,1229,1214809,Transway1A,Tri519451,0,1180,165445,0,0
16,1230,1214810,Transway1A,Tri519451,0,1329,165445,0,0
16,1231,1214811,Transway1A,Tri519451,0,1479,165445,0,0
16,1232,1214812,Transway1A,Tri519451,0,1628,165445,0,0
16,1228,1214813,Transway1A,Tri519452,0,1031,165445,0,0
16,1229,1214814,Transway1A,Tri519452,0,1178,165445,0,0
16,1230,1214815,Transway1A,Tri519452,0,1327,165445,0,0
16,1231,1214816,Transway1A,Tri519452,0,1477,165445,0,0
16,1232,1214817,Transway1A,Tri519452,0,1626,165445,0,0
16,1228,1214818,Transway1A,Tri519453,0,1032,165445,0,0
16,1229,1214819,Transway1A,Tri519453,0,1179,165445,0,0
16,1230,1214820,Transway1A,Tri519453,0,1328,165445,0,0
16,1231,1214821,Transway1A,Tri519453,0,1478,165445,0,0
16,1232,1214822,Transway1A,Tri519453,0,1627,165445,0,0
16,1228,1214823,Transway1A,Tri519454,0,1033,165445,0,0
16,1229,1214824,Transway1A,Tri519454,0,1180,165445,0,0
16,1230,1214825,Transway1A,Tri519454,0,1329,165445,0,0
16,1231,1214826,Transway1A,Tri519454,0,1479,165445,0,0
16,1232,1214827,Transway1A,Tri519454,0,1628,165445,0,0
16,1228,1214828,Transway1A,Tri519455,0,1031,165445,0,0
16,1229,1214829,Transway1A,Tri519455,0,1178,165445,0,0
16,1230,1214830,Transway1A,Tri519455,0,1327,165445,0,0
16,1231,1214831,Transway1A,Tri519455,0,1477,165445,0,0
16,1232,1214832,Transway1A,Tri519455,0,1626,165445,0,0
16,1228,1214833,Transway1A,Tri519456,0,1032,165445,0,0
16,1229,1214834,Transway1A,Tri519456,0,1179,165445,0,0
16,1230,1214835,Transway1A,Tri519456,0,1328,165445,0,0
16,1231,1214836,Transway1A,Tri519456,0,1478,165445,0,0
16,1232,1214837,Transway1A,Tri519456,0,1627,165445,0,0
16,1228,1214838,Transway1A,Tri519457,0,1033,165445,0,0
16,1229,1214839,Transway1A,Tri519457,0,1180,165445,0,0
16,1230,1214840,Transway1A,Tri519457,0,1329,165445,0,0
16,1231,1214841,Transway1A,Tri519457,0,1479,165445,0,0
16,1232,1214842,Transway1A,Tri519457,0,1628,165445,0,0
16,1228,1214843,Transway1A,Tri519458,0,1031,165445,0,0
16,1229,1214844,Transway1A,Tri519458,0,1178,165445,0,0
16,1230,1214845,Transway1A,Tri519458,0,1327,165445,0,0
16,1231,1214846,Transway1A,Tri519458,0,1477,165445,0,0
16,1232,1214847,Transway1A,Tri519458,0,1626,165445,0,0
